Created as New Dataset,
nm,A
800.0,0.0005
799.9,-0.0007
799.8,0.0002
799.7,-0.0006
799.6,-0.0001
799.5,-0.0009
799.4,-0.0001
799.3,-0.0003
799.2,-0.0001
799.1,-0.0014
799.0,-0.0004
798.9,-0.0019
798.8,-0.0003
798.7,-0.0002
798.6,0.0001
798.5,-0.0014
798.4,-0.0002
798.3,0.0005
798.2,-0.0002
798.1,-0.0005
798.0,-0.0002
797.9,-0.0001
797.8,0.0008
797.7,-0.0002
797.6,-0.0008
797.5,-0.0009
797.4,-0.0000
797.3,-0.0008
797.2,0.0008
797.1,-0.0002
797.0,0.0006
796.9,-0.0006
796.8,-0.0000
796.7,-0.0005
796.6,-0.0003
796.5,0.0002
796.4,-0.0001
796.3,-0.0005
796.2,-0.0002
796.1,0.0002
796.0,0.0004
795.9,0.0003
795.8,0.0002
795.7,0.0002
795.6,0.0000
795.5,-0.0001
795.4,-0.0005
795.3,0.0009
795.2,0.0010
795.1,0.0002
795.0,0.0004
794.9,-0.0002
794.8,-0.0004
794.7,-0.0002
794.6,0.0002
794.5,0.0001
794.4,-0.0006
794.3,0.0002
794.2,-0.0002
794.1,-0.0000
794.0,-0.0002
793.9,0.0003
793.8,-0.0001
793.7,-0.0001
793.6,0.0007
793.5,-0.0004
793.4,-0.0009
793.3,-0.0004
793.2,-0.0006
793.1,0.0001
793.0,-0.0008
792.9,-0.0005
792.8,-0.0002
792.7,0.0002
792.6,-0.0002
792.5,-0.0007
792.4,-0.0003
792.3,0.0001
792.2,0.0006
792.1,0.0001
792.0,0.0005
791.9,0.0006
791.8,-0.0000
791.7,-0.0007
791.6,-0.0006
791.5,-0.0008
791.4,-0.0013
791.3,-0.0011
791.2,0.0001
791.1,-0.0003
791.0,0.0001
790.9,-0.0001
790.8,-0.0001
790.7,0.0006
790.6,0.0004
790.5,-0.0006
790.4,-0.0014
790.3,-0.0002
790.2,0.0009
790.1,0.0002
790.0,-0.0001
789.9,-0.0005
789.8,-0.0008
789.7,-0.0009
789.6,-0.0006
789.5,0.0002
789.4,0.0005
789.3,-0.0001
789.2,-0.0004
789.1,0.0005
789.0,0.0007
788.9,-0.0005
788.8,-0.0003
788.7,-0.0002
788.6,-0.0008
788.5,-0.0005
788.4,-0.0002
788.3,-0.0005
788.2,-0.0005
788.1,-0.0007
788.0,-0.0005
787.9,-0.0004
787.8,-0.0007
787.7,-0.0006
787.6,-0.0007
787.5,-0.0002
787.4,0.0003
787.3,0.0000
787.2,-0.0002
787.1,-0.0009
787.0,0.0001
786.9,0.0007
786.8,0.0000
786.7,-0.0001
786.6,-0.0007
786.5,-0.0007
786.4,-0.0001
786.3,-0.0002
786.2,-0.0001
786.1,-0.0002
786.0,-0.0006
785.9,-0.0004
785.8,-0.0007
785.7,-0.0009
785.6,-0.0008
785.5,-0.0003
785.4,-0.0006
785.3,-0.0005
785.2,-0.0007
785.1,-0.0009
785.0,-0.0016
784.9,-0.0011
784.8,-0.0006
784.7,-0.0014
784.6,-0.0007
784.5,-0.0002
784.4,0.0002
784.3,-0.0001
784.2,-0.0004
784.1,0.0000
784.0,0.0003
783.9,0.0000
783.8,-0.0004
783.7,-0.0005
783.6,-0.0007
783.5,-0.0008
783.4,0.0002
783.3,0.0000
783.2,0.0006
783.1,0.0003
783.0,0.0007
782.9,-0.0004
782.8,-0.0001
782.7,-0.0002
782.6,-0.0002
782.5,0.0001
782.4,-0.0001
782.3,0.0004
782.2,0.0000
782.1,-0.0001
782.0,0.0003
781.9,0.0000
781.8,0.0003
781.7,-0.0008
781.6,-0.0015
781.5,-0.0017
781.4,-0.0009
781.3,0.0004
781.2,-0.0006
781.1,-0.0006
781.0,-0.0007
780.9,-0.0004
780.8,-0.0005
780.7,-0.0003
780.6,0.0003
780.5,0.0002
780.4,-0.0000
780.3,-0.0007
780.2,-0.0016
780.1,-0.0007
780.0,-0.0005
779.9,0.0000
779.8,0.0002
779.7,-0.0006
779.6,-0.0008
779.5,0.0004
779.4,0.0006
779.3,-0.0008
779.2,0.0006
779.1,-0.0008
779.0,-0.0002
778.9,0.0006
778.8,-0.0000
778.7,-0.0006
778.6,-0.0012
778.5,-0.0002
778.4,-0.0015
778.3,-0.0007
778.2,0.0004
778.1,-0.0004
778.0,0.0004
777.9,-0.0001
777.8,-0.0010
777.7,-0.0011
777.6,-0.0000
777.5,-0.0003
777.4,0.0004
777.3,-0.0003
777.2,-0.0000
777.1,0.0010
777.0,-0.0002
776.9,0.0006
776.8,0.0003
776.7,-0.0005
776.6,0.0011
776.5,-0.0006
776.4,0.0006
776.3,-0.0005
776.2,-0.0006
776.1,-0.0001
776.0,-0.0000
775.9,0.0002
775.8,0.0010
775.7,-0.0004
775.6,-0.0009
775.5,-0.0003
775.4,-0.0005
775.3,0.0004
775.2,0.0002
775.1,-0.0008
775.0,-0.0006
774.9,0.0002
774.8,0.0001
774.7,-0.0006
774.6,0.0004
774.5,0.0007
774.4,-0.0004
774.3,-0.0007
774.2,-0.0000
774.1,0.0005
774.0,-0.0004
773.9,-0.0001
773.8,0.0005
773.7,0.0009
773.6,0.0002
773.5,-0.0002
773.4,0.0003
773.3,0.0002
773.2,0.0005
773.1,0.0005
773.0,-0.0004
772.9,-0.0004
772.8,-0.0003
772.7,0.0004
772.6,-0.0008
772.5,-0.0006
772.4,-0.0001
772.3,0.0003
772.2,-0.0002
772.1,-0.0009
772.0,0.0004
771.9,-0.0002
771.8,-0.0001
771.7,-0.0003
771.6,0.0000
771.5,0.0005
771.4,-0.0006
771.3,-0.0005
771.2,-0.0002
771.1,0.0003
771.0,0.0010
770.9,-0.0004
770.8,0.0002
770.7,0.0001
770.6,0.0003
770.5,-0.0001
770.4,-0.0010
770.3,-0.0005
770.2,0.0004
770.1,0.0007
770.0,0.0010
769.9,0.0000
769.8,-0.0002
769.7,0.0004
769.6,0.0002
769.5,0.0003
769.4,-0.0001
769.3,0.0000
769.2,0.0002
769.1,0.0004
769.0,-0.0000
768.9,-0.0003
768.8,0.0004
768.7,0.0004
768.6,-0.0001
768.5,-0.0006
768.4,-0.0005
768.3,0.0005
768.2,-0.0002
768.1,0.0002
768.0,0.0010
767.9,-0.0001
767.8,-0.0002
767.7,0.0006
767.6,0.0006
767.5,0.0004
767.4,0.0012
767.3,0.0006
767.2,0.0003
767.1,0.0003
767.0,0.0002
766.9,0.0004
766.8,0.0006
766.7,0.0003
766.6,0.0002
766.5,0.0000
766.4,0.0003
766.3,0.0008
766.2,0.0002
766.1,-0.0002
766.0,-0.0003
765.9,-0.0003
765.8,0.0002
765.7,0.0000
765.6,0.0001
765.5,0.0004
765.4,0.0006
765.3,0.0003
765.2,0.0001
765.1,0.0005
765.0,0.0010
764.9,0.0011
764.8,0.0006
764.7,0.0004
764.6,0.0003
764.5,0.0003
764.4,0.0007
764.3,0.0003
764.2,-0.0004
764.1,0.0001
764.0,0.0007
763.9,0.0003
763.8,0.0003
763.7,0.0004
763.6,-0.0001
763.5,0.0004
763.4,0.0007
763.3,0.0011
763.2,0.0009
763.1,0.0001
763.0,0.0003
762.9,0.0006
762.8,0.0005
762.7,0.0013
762.6,0.0014
762.5,0.0011
762.4,0.0013
762.3,0.0016
762.2,0.0011
762.1,0.0002
762.0,0.0011
761.9,0.0014
761.8,0.0007
761.7,0.0002
761.6,0.0006
761.5,0.0010
761.4,0.0005
761.3,0.0010
761.2,0.0006
761.1,0.0002
761.0,0.0008
760.9,0.0006
760.8,0.0009
760.7,0.0003
760.6,0.0004
760.5,0.0004
760.4,0.0005
760.3,0.0005
760.2,0.0003
760.1,0.0007
760.0,0.0012
759.9,0.0007
759.8,0.0006
759.7,0.0010
759.6,0.0009
759.5,0.0010
759.4,0.0006
759.3,0.0012
759.2,0.0013
759.1,0.0008
759.0,0.0005
758.9,0.0011
758.8,0.0012
758.7,0.0012
758.6,0.0005
758.5,0.0011
758.4,0.0010
758.3,0.0008
758.2,0.0012
758.1,0.0018
758.0,0.0020
757.9,0.0016
757.8,0.0028
757.7,0.0014
757.6,0.0007
757.5,0.0012
757.4,0.0015
757.3,0.0008
757.2,0.0017
757.1,0.0004
757.0,0.0018
756.9,0.0013
756.8,0.0014
756.7,0.0010
756.6,0.0013
756.5,0.0017
756.4,0.0011
756.3,0.0011
756.2,0.0017
756.1,0.0015
756.0,0.0009
755.9,0.0011
755.8,0.0015
755.7,0.0014
755.6,0.0002
755.5,0.0012
755.4,0.0007
755.3,0.0013
755.2,0.0007
755.1,0.0004
755.0,0.0005
754.9,0.0005
754.8,0.0015
754.7,0.0011
754.6,0.0026
754.5,0.0012
754.4,0.0005
754.3,0.0015
754.2,0.0013
754.1,0.0016
754.0,0.0018
753.9,0.0009
753.8,0.0011
753.7,0.0020
753.6,0.0009
753.5,0.0010
753.4,0.0022
753.3,0.0003
753.2,0.0011
753.1,0.0013
753.0,0.0014
752.9,0.0016
752.8,0.0022
752.7,0.0015
752.6,0.0015
752.5,0.0011
752.4,0.0014
752.3,0.0025
752.2,0.0017
752.1,0.0015
752.0,0.0005
751.9,0.0018
751.8,0.0014
751.7,0.0010
751.6,0.0017
751.5,0.0017
751.4,0.0008
751.3,0.0006
751.2,0.0013
751.1,0.0007
751.0,0.0014
750.9,0.0009
750.8,0.0007
750.7,0.0015
750.6,0.0024
750.5,0.0014
750.4,0.0019
750.3,0.0018
750.2,0.0016
750.1,0.0010
750.0,0.0017
749.9,0.0009
749.8,0.0018
749.7,0.0016
749.6,0.0013
749.5,0.0019
749.4,0.0016
749.3,0.0019
749.2,0.0016
749.1,0.0010
749.0,0.0015
748.9,0.0017
748.8,0.0017
748.7,0.0017
748.6,0.0011
748.5,0.0019
748.4,0.0016
748.3,0.0020
748.2,0.0017
748.1,0.0012
748.0,0.0010
747.9,0.0010
747.8,0.0016
747.7,0.0018
747.6,0.0026
747.5,0.0020
747.4,0.0017
747.3,0.0013
747.2,0.0021
747.1,0.0024
747.0,0.0016
746.9,0.0015
746.8,0.0013
746.7,0.0018
746.6,0.0016
746.5,0.0016
746.4,0.0016
746.3,0.0016
746.2,0.0020
746.1,0.0013
746.0,0.0019
745.9,0.0024
745.8,0.0014
745.7,0.0015
745.6,0.0019
745.5,0.0014
745.4,0.0010
745.3,0.0014
745.2,0.0017
745.1,0.0016
745.0,0.0015
744.9,0.0010
744.8,0.0016
744.7,0.0020
744.6,0.0018
744.5,0.0019
744.4,0.0019
744.3,0.0014
744.2,0.0013
744.1,0.0012
744.0,0.0016
743.9,0.0015
743.8,0.0011
743.7,0.0016
743.6,0.0017
743.5,0.0017
743.4,0.0018
743.3,0.0022
743.2,0.0023
743.1,0.0022
743.0,0.0016
742.9,0.0008
742.8,0.0012
742.7,0.0015
742.6,0.0012
742.5,0.0017
742.4,0.0020
742.3,0.0024
742.2,0.0026
742.1,0.0018
742.0,0.0012
741.9,0.0014
741.8,0.0013
741.7,0.0013
741.6,0.0014
741.5,0.0016
741.4,0.0018
741.3,0.0021
741.2,0.0019
741.1,0.0015
741.0,0.0017
740.9,0.0020
740.8,0.0020
740.7,0.0016
740.6,0.0016
740.5,0.0018
740.4,0.0017
740.3,0.0018
740.2,0.0018
740.1,0.0018
740.0,0.0012
739.9,0.0011
739.8,0.0018
739.7,0.0017
739.6,0.0020
739.5,0.0019
739.4,0.0017
739.3,0.0011
739.2,0.0009
739.1,0.0015
739.0,0.0018
738.9,0.0021
738.8,0.0020
738.7,0.0015
738.6,0.0014
738.5,0.0013
738.4,0.0012
738.3,0.0014
738.2,0.0019
738.1,0.0015
738.0,0.0012
737.9,0.0015
737.8,0.0019
737.7,0.0014
737.6,0.0015
737.5,0.0012
737.4,0.0013
737.3,0.0012
737.2,0.0018
737.1,0.0015
737.0,0.0014
736.9,0.0017
736.8,0.0019
736.7,0.0018
736.6,0.0018
736.5,0.0021
736.4,0.0021
736.3,0.0019
736.2,0.0014
736.1,0.0013
736.0,0.0015
735.9,0.0013
735.8,0.0016
735.7,0.0013
735.6,0.0017
735.5,0.0013
735.4,0.0012
735.3,0.0014
735.2,0.0018
735.1,0.0014
735.0,0.0018
734.9,0.0012
734.8,0.0015
734.7,0.0013
734.6,0.0009
734.5,0.0013
734.4,0.0011
734.3,0.0013
734.2,0.0017
734.1,0.0013
734.0,0.0005
733.9,0.0014
733.8,0.0016
733.7,0.0018
733.6,0.0017
733.5,0.0020
733.4,0.0016
733.3,0.0011
733.2,0.0010
733.1,0.0014
733.0,0.0012
732.9,0.0015
732.8,0.0007
732.7,0.0012
732.6,0.0018
732.5,0.0019
732.4,0.0017
732.3,0.0018
732.2,0.0019
732.1,0.0011
732.0,0.0008
731.9,0.0020
731.8,0.0019
731.7,0.0023
731.6,0.0019
731.5,0.0019
731.4,0.0019
731.3,0.0012
731.2,0.0021
731.1,0.0018
731.0,0.0008
730.9,0.0009
730.8,0.0012
730.7,0.0015
730.6,0.0008
730.5,0.0012
730.4,0.0017
730.3,0.0014
730.2,0.0014
730.1,0.0026
730.0,0.0018
729.9,0.0015
729.8,0.0014
729.7,0.0018
729.6,0.0018
729.5,0.0017
729.4,0.0014
729.3,0.0012
729.2,0.0013
729.1,0.0011
729.0,0.0017
728.9,0.0018
728.8,0.0014
728.7,0.0022
728.6,0.0021
728.5,0.0021
728.4,0.0019
728.3,0.0013
728.2,0.0017
728.1,0.0015
728.0,0.0018
727.9,0.0018
727.8,0.0013
727.7,0.0017
727.6,0.0010
727.5,0.0016
727.4,0.0015
727.3,0.0015
727.2,0.0010
727.1,0.0013
727.0,0.0015
726.9,0.0009
726.8,0.0014
726.7,0.0012
726.6,0.0020
726.5,0.0007
726.4,0.0018
726.3,0.0017
726.2,0.0014
726.1,0.0015
726.0,0.0012
725.9,0.0013
725.8,0.0019
725.7,0.0019
725.6,0.0014
725.5,0.0018
725.4,0.0015
725.3,0.0016
725.2,0.0022
725.1,0.0019
725.0,0.0020
724.9,0.0013
724.8,0.0015
724.7,0.0015
724.6,0.0013
724.5,0.0017
724.4,0.0012
724.3,0.0012
724.2,0.0013
724.1,0.0016
724.0,0.0009
723.9,0.0014
723.8,0.0014
723.7,0.0014
723.6,0.0015
723.5,0.0014
723.4,0.0009
723.3,0.0016
723.2,0.0021
723.1,0.0018
723.0,0.0016
722.9,0.0017
722.8,0.0017
722.7,0.0018
722.6,0.0014
722.5,0.0015
722.4,0.0019
722.3,0.0023
722.2,0.0020
722.1,0.0022
722.0,0.0021
721.9,0.0017
721.8,0.0013
721.7,0.0015
721.6,0.0014
721.5,0.0017
721.4,0.0017
721.3,0.0014
721.2,0.0020
721.1,0.0020
721.0,0.0021
720.9,0.0018
720.8,0.0017
720.7,0.0017
720.6,0.0017
720.5,0.0014
720.4,0.0014
720.3,0.0015
720.2,0.0014
720.1,0.0013
720.0,0.0016
719.9,0.0015
719.8,0.0014
719.7,0.0014
719.6,0.0017
719.5,0.0018
719.4,0.0017
719.3,0.0013
719.2,0.0013
719.1,0.0017
719.0,0.0020
718.9,0.0019
718.8,0.0019
718.7,0.0019
718.6,0.0017
718.5,0.0021
718.4,0.0023
718.3,0.0018
718.2,0.0016
718.1,0.0018
718.0,0.0021
717.9,0.0021
717.8,0.0020
717.7,0.0019
717.6,0.0018
717.5,0.0017
717.4,0.0019
717.3,0.0021
717.2,0.0019
717.1,0.0021
717.0,0.0023
716.9,0.0021
716.8,0.0023
716.7,0.0024
716.6,0.0021
716.5,0.0018
716.4,0.0018
716.3,0.0017
716.2,0.0018
716.1,0.0016
716.0,0.0019
715.9,0.0023
715.8,0.0021
715.7,0.0021
715.6,0.0018
715.5,0.0019
715.4,0.0024
715.3,0.0022
715.2,0.0024
715.1,0.0023
715.0,0.0025
714.9,0.0026
714.8,0.0022
714.7,0.0022
714.6,0.0023
714.5,0.0022
714.4,0.0023
714.3,0.0028
714.2,0.0025
714.1,0.0019
714.0,0.0022
713.9,0.0017
713.8,0.0024
713.7,0.0023
713.6,0.0022
713.5,0.0028
713.4,0.0026
713.3,0.0021
713.2,0.0023
713.1,0.0025
713.0,0.0019
712.9,0.0027
712.8,0.0027
712.7,0.0029
712.6,0.0024
712.5,0.0023
712.4,0.0029
